,Promedio,Reprobadas Primer Semestre,Inscritas,Bajas,Espera Aprobar,Sueño,Ejercicio,Tiempo Total,Usa Metro,Línea,Estación Fin,Tiempo Metro PostP,Alumno PreP,Misma Ruta,Tiempo Metro PreP,Estación,Distancia
158,7.5,2,5,0,4,5,Ninguno,90,Sí,3,Universidad,60.0,Sí,Si,50.0,Indios Verdes,21.278
159,8.7,2,5,0,Todas,5,Entre 1 y 2,70,Sí,5,Universidad,50.0,No,,,Hangares,21.551
160,7.5,0,6,1,Todas,6,Entre 1 y 2,120,Sí,B,Universidad,90.0,Sí,Si,90.0,Ciudad Azteca,33.797
161,9.2,1,Más de 6,1,5,4,Entre 3 y 4,60,No,,,,,,,,0.0
162,8.9,2,5,0,2,4,Entre 1 y 2,70,Sí,4,Universidad,50.0,No,,,Canal del Norte,18.192
163,8.6,0,5,0,3,5,Entre 1 y 2,100,Sí,9,Universidad,60.0,Sí,Usaba otra ruta,,Pantitlán,19.757
164,8.4,0,6,0,4,7,Entre 1 y 2,90,No,,,,,,,,0.0
165,9.4,1,5,0,Todas,8,Entre 3 y 4,50,Sí,1,Universidad,35.0,Sí,No usaba Metro,,Sevilla,15.038
166,8.4,1,5,0,3,8,Ninguno,20,No,,,,,,,,0.0
167,8.4,0,6,0,Todas,6,Ninguno,70,Sí,3,Universidad,50.0,No,,,Potrero,18.846
168,8.9,1,6,0,Todas,4,Entre 1 y 2,70,No,,,,,,,,0.0
169,8.6,1,Más de 6,2,5,7,Entre 1 y 2,100,Sí,2,Universidad,70.0,Sí,Si,60.0,Cuatro Caminos,22.372
170,8.5,1,6,1,2,7,Entre 1 y 2,90,Sí,9,Universidad,60.0,Sí,Si,50.0,Puebla,18.227
171,9.1,1,5,0,Todas,5,Ninguno,100,Sí,6,Copilco,60.0,No,,,Martín Carrera,20.517
172,8.3,2,5,0,Todas,8,Entre 1 y 2,90,No,,,,,,,,0.0
173,7.5,1,5,0,Todas,5,Entre 1 y 2,80,Sí,2,Universidad,60.0,Sí,Si,60.0,Popotla,17.46
174,8.5,3,3,0,2,6,Entre 3 y 4,80,Sí,B,Universidad,60.0,No,,,Guerrero,14.803
175,8.8,1,2,0,2,4,Entre 3 y 4,60,Sí,9,Universidad,40.0,No,,,Lázaro Cárdenas,11.623
176,7.5,2,5,0,3,4,Entre 1 y 2,110,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,80.0,Sí,No usaba Metro,,Calle 11,0.0
177,8.6,1,5,0,Todas,6,Entre 1 y 2,140,Sí,2,Copilco,60.0,Sí,Si,60.0,Cuatro Caminos,20.916
178,8.2,0,6,0,3,5,Entre 1 y 2,60,Sí,3,Universidad,30.0,No,,,Centro Médico,10.414
179,8.2,2,5,0,4,7,Ninguno,140,Sí,2,Copilco,70.0,Sí,Usaba otra ruta,,Cuatro Caminos,20.916
180,8.8,4,5,1,3,6,Ninguno,70,Sí,B,Universidad,50.0,No,,,Oceanía,21.652
181,9.0,3,6,0,3,7,Entre 3 y 4,70,Sí,1,Universidad,40.0,Sí,Usaba otra ruta,,Insurgentes,14.243
182,8.4,1,5,0,3,5,Entre 3 y 4,170,No,,,,,,,,0.0
183,8.3,1,5,1,3,5,Entre 1 y 2,80,No,,,,,,,,0.0
184,8.3,2,5,0,Todas,5,Entre 3 y 4,80,No,,,,,,,,0.0
185,8.1,1,5,0,Todas,8,Entre 3 y 4,80,Sí,9,Universidad,50.0,Sí,Si,40.0,Tacubaya,14.104
186,8.4,4,4,0,3,5,Entre 3 y 4,90,Sí,8,Universidad,60.0,Sí,Si,30.0,Cerro de la Estrella,23.13
187,8.6,0,6,0,Todas,8,Entre 1 y 2,60,Sí,1,Universidad,40.0,Sí,No usaba Metro,,Tacubaya,14.104
